Juan                7.84%     189.5MiB / 500MiB     37.89%	33
eci2                209.34%   339.5MiB / 500MiB     67.89%	33
eci                 103.61%   290MiB / 500MiB       58.00%	34
Juan                2.98%     189.3MiB / 500MiB     37.86%	34
eci2                101.06%   336.2MiB / 500MiB     67.25%	34
eci                 107.35%   282.4MiB / 500MiB     56.48%	35
Juan                10.26%    191.7MiB / 500MiB     38.35%	35
eci2                105.58%   342.4MiB / 500MiB     68.49%	35
eci                 111.59%   274.5MiB / 500MiB     54.90%	36
Juan                6.06%     189.5MiB / 500MiB     37.91%	36
eci2                101.19%   341.7MiB / 500MiB     68.33%	36
eci                 101.57%   261.7MiB / 500MiB    52.35%	37
Juan                1.61%     189.5MiB / 500MiB    37.90%	37
eci2                100.87%   332.6MiB / 500MiB    66.53%	37
eci                 101.55%   245MiB / 500MiB      48.99%	38
Juan                5.55%     191.4MiB / 500MiB    38.27%	38
eci2                102.33%   323.4MiB / 500MiB    64.68%	38
eci                 101.97%   242.7MiB / 500MiB     48.53%	39
Juan                1.52%     198.8MiB / 500MiB     39.75%	39
eci2                109.29%   330.7MiB / 500MiB     66.14%	39
eci                 101.57%   259.5MiB / 500MiB     51.90%	40
Juan                1.81%     198.8MiB / 500MiB     39.76%	40
eci2                100.87%   333MiB / 500MiB       66.60%	40
eci                 102.24%   242.7MiB / 500MiB    48.53%	41
Juan                7.10%     195.6MiB / 500MiB    39.11%	41
eci2                102.14%   327.4MiB / 500MiB    65.48%	41
eci                 26.05%    245.3MiB / 500MiB     49.06%	42
Juan                1.69%     201.8MiB / 500MiB     40.36%	42
eci2                100.75%   329.7MiB / 500MiB     65.94%	42
eci                 113.99%   265.4MiB / 500MiB    53.07%	43
Juan                13.23%    207.8MiB / 500MiB    41.57%	43
eci2                206.93%   348.3MiB / 500MiB    69.65%	43
eci                 118.57%   252.9MiB / 500MiB    50.57%	44
Juan                22.01%    208MiB / 500MiB      41.60%	44
eci2                239.05%   352.8MiB / 500MiB    70.55%	44
eci                 102.09%   266.1MiB / 500MiB     53.21%	45
Juan                7.74%     209.6MiB / 500MiB     41.92%	45
eci2                202.43%   347.5MiB / 500MiB     69.50%	45
eci                 100.99%   280.3MiB / 500MiB    56.06%	46
Juan                1.53%     209.6MiB / 500MiB    41.92%	46
eci2                201.35%   337.2MiB / 500MiB    67.45%	46
eci                 101.27%   272.2MiB / 500MiB    54.45%	47
Juan                2.10%     210.4MiB / 500MiB    42.08%	47
eci2                201.42%   358.2MiB / 500MiB    71.64%	47
eci                 111.77%   249.1MiB / 500MiB    49.81%	48
Juan                9.17%     209.5MiB / 500MiB    41.89%	48
eci2                201.63%   330.7MiB / 500MiB    66.13%	48
eci                 101.61%   248.6MiB / 500MiB    49.73%	49
Juan                1.90%     207.9MiB / 500MiB    41.59%	49
eci2                202.12%   359.9MiB / 500MiB    71.98%	49
eci                 107.36%   252MiB / 500MiB      50.40%	50
Juan                16.24%    207.7MiB / 500MiB    41.55%	50
